strat_id;date;protection;rendement;M1;C1
6;02/03/2006;60;-0.0028517214454;0,6912;0,3088
5;02/03/2006;50;-0.0032691467667;0,7924;0,2076
4;02/03/2006;40;-0.0036867156199;0,8936;0,1064
3;02/03/2006;30;-0.0040813584373;0,9893;0,0107
2;02/03/2006;20;-0.0040830160287;0,9897;0,0103
1;02/03/2006;10;-0.0040843052665;0,9897;0,0103
0;02/03/2006;0;-0.0040946191687;0,9925;0,0075
12;03/03/2006;100;5.55555556e-05;0;1
11;03/03/2006;95;0.0006922282086;0,3069;0,6931
10;03/03/2006;90;0.0008580932004;0,3762;0,6238
9;03/03/2006;85;0.0009898679126;0,4313;0,5687
8;03/03/2006;80;0.001115347124;0,4838;0,5162
7;03/03/2006;70;0.001360937318;0,5865;0,4135
6;03/03/2006;60;0.0016042883155;0,6882;0,3118
5;03/03/2006;50;0.0018471844972;0,7898;0,2102
4;03/03/2006;40;0.0020902256447;0,8914;0,1086
3;03/03/2006;30;0.0023243739497;0,9893;0,0107
2;03/03/2006;20;0.0023253348867;0,9897;0,0103
1;03/03/2006;10;0.0023260822822;0,9897;0,0103
0;03/03/2006;0;0.0023320614462;0,9925;0,0075
12;04/03/2006;100;5.55555556e-05;0;1
11;04/03/2006;95;-0.0009806964981;0,3115;0,6885
10;04/03/2006;90;-0.0011851770904;0,3793;0,6207
9;04/03/2006;85;-0.0013495701334;0,4338;0,5662
8;04/03/2006;80;-0.0015068503302;0,486;0,514
7;04/03/2006;70;-0.0018154356466;0,5884;0,4116
6;04/03/2006;60;-0.0021215141805;0,6899;0,3101
5;04/03/2006;50;-0.0024270605178;0,7913;0,2087
4;04/03/2006;40;-0.0027327365165;0,8927;0,1073
3;04/03/2006;30;-0.0030240525104;0,9893;0,0107
2;04/03/2006;20;-0.0030252637682;0,9897;0,0103
1;04/03/2006;10;-0.0030262058575;0,9897;0,0103
0;04/03/2006;0;-0.0030337425727;0,9925;0,0075
12;05/03/2006;100;5.55555556e-05;0;1
11;05/03/2006;95;0.0011714548315;0,3049;0,6951
10;05/03/2006;90;0.0014503387705;0,375;0,625
9;05/03/2006;85;0.0016705849535;0,4304;0,5696
8;05/03/2006;80;0.0018798535644;0,483;0,517
7;05/03/2006;70;0.0022889733626;0,5858;0,4142
6;05/03/2006;60;0.0026941547725;0,6877;0,3123
5;05/03/2006;50;0.0030985246693;0,7893;0,2107
4;05/03/2006;40;0.0035031342303;0,891;0,109
3;05/03/2006;30;0.0038942071039;0,9893;0,0107
2;05/03/2006;20;0.0038958056086;0,9897;0,0103
1;05/03/2006;10;0.00389704889;0,9897;0,0103
0;05/03/2006;0;0.0039069951415;0,9925;0,0075
12;06/03/2006;100;0.0001666666667;0;1
11;06/03/2006;95;-0.0005785436889;0,3128;0,6872
10;06/03/2006;90;-0.0006764498379;0,3803;0,6197
9;06/03/2006;85;-0.000755331394;0,4347;0,5653
8;06/03/2006;80;-0.0008308833416;0,4868;0,5132
7;06/03/2006;70;-0.0009792029487;0,589;0,411
6;06/03/2006;60;-0.0011263476483;0,6905;0,3095
5;06/03/2006;50;-0.0012732328285;0,7918;0,2082
4;06/03/2006;40;-0.0014201646898;0,8931;0,1069
3;06/03/2006;30;-0.001559627891;0,9893;0,0107
2;06/03/2006;20;-0.0015602105467;0,9897;0,0103
1;06/03/2006;10;-0.0015606637234;0,9897;0,0103
0;06/03/2006;0;-0.0015642891368;0,9925;0,0075
12;09/03/2006;100;5.55555556e-05;0;1
11;09/03/2006;95;-0.0005124668324;0,3089;0,6911
10;09/03/2006;90;-0.0006175375459;0,3778;0,6222
9;09/03/2006;85;-0.0007012255952;0,4327;0,5673
8;09/03/2006;80;-0.0007810389375;0,4851;0,5149
7;09/03/2006;70;-0.0009373752123;0,5877;0,4123
6;09/03/2006;60;-0.0010923197227;0,6893;0,3107
5;09/03/2006;50;-0.001246955021;0,7908;0,2092
4;09/03/2006;40;-0.0014016437811;0,8923;0,1077
3;09/03/2006;30;-0.001549543182;0,9893;0,0107
2;09/03/2006;20;-0.0015501555867;0,9897;0,0103
1;09/03/2006;10;-0.0015506319015;0,9897;0,0103
0;09/03/2006;0;-0.0015544424198;0,9925;0,0075
12;10/03/2006;100;5.55555556e-05;0;1
11;10/03/2006;95;0.000440530992;0,3055;0,6945
10;10/03/2006;90;0.0005512365862;0,3756;0,6244
9;10/03/2006;85;0.0006386027459;0,4309;0,5691
8;10/03/2006;80;0.0007216240491;0,4835;0,5165
7;10/03/2006;70;0.0008839378336;0,5863;0,4137
6;10/03/2006;60;0.0010446766664;0,6882;0,3118
5;10/03/2006;50;0.0012050704235;0,7898;0,2102
4;10/03/2006;40;0.0013655318038;0,8914;0,1086
3;10/03/2006;30;0.0015200596887;0,9893;0,0107
2;10/03/2006;20;0.0015206939638;0,9897;0,0103
1;10/03/2006;10;0.0015211872889;0,9897;0,0103
0;10/03/2006;0;0.0015251338898;0,9925;0,0075
12;11/03/2006;100;5.55555556e-05;0;1
11;11/03/2006;95;0.000912495203;0,3084;0,6916
10;11/03/2006;90;0.0011265205659;0,3776;0,6224
9;11/03/2006;85;0.0012966410162;0,4326;0,5674
8;11/03/2006;80;0.0014587775622;0,485;0,515
7;11/03/2006;70;0.0017762542479;0,5876;0,4124
6;11/03/2006;60;0.0020908461003;0,6893;0,3107
5;11/03/2006;50;0.0024047847299;0,7907;0,2093
4;11/03/2006;40;0.0027188175409;0,8922;0,1078
3;11/03/2006;30;0.0030191033143;0,9893;0,0107
2;11/03/2006;20;0.0030203464068;0,9897;0,0103
1;11/03/2006;10;0.0030213132565;0,9897;0,0103
0;11/03/2006;0;0.0030290480543;0,9925;0,0075
12;12/03/2006;100;5.55555556e-05;0;1
11;12/03/2006;95;0.0006862254899;0,3145;0,6855
10;12/03/2006;90;0.000841644651;0,3817;0,6183
9;12/03/2006;85;0.0009671663228;0,4359;0,5641
8;12/03/2006;80;0.0010875530783;0,4879;0,5121
7;12/03/2006;70;0.0013240484049;0,5901;0,4099
6;12/03/2006;60;0.0015587089799;0,6915;0,3085
5;12/03/2006;50;0.0017929257782;0,7927;0,2073
4;12/03/2006;40;0.0020271626869;0,8939;0,1061
3;12/03/2006;30;0.0022479812125;0,9893;0,0107
2;12/03/2006;20;0.0022489111237;0,9897;0,0103
1;12/03/2006;10;0.0022496343879;0,9897;0,0103
0;12/03/2006;0;0.0022554205017;0,9925;0,0075
12;13/03/2006;100;0.0001666666667;0;1
11;13/03/2006;95;-0.0003167077774;0,3191;0,6809
10;13/03/2006;90;-0.0003561266618;0,3847;0,6153
9;13/03/2006;85;-0.000388371176;0,4384;0,5616
8;13/03/2006;80;-0.0004194471185;0,4901;0,5099
7;13/03/2006;70;-0.0004806456774;0,5919;0,4081
6;13/03/2006;60;-0.0005414307958;0,6931;0,3069
5;13/03/2006;50;-0.0006021094166;0,7941;0,2059
4;13/03/2006;40;-0.0006627835308;0,8951;0,1049
3;13/03/2006;30;-0.0007193690241;0,9893;0,0107
2;13/03/2006;20;-0.0007196104194;0,9897;0,0103
1;13/03/2006;10;-0.0007197981714;0,9897;0,0103
0;13/03/2006;0;-0.000721300187;0,9925;0,0075
12;16/03/2006;100;5.55555556e-05;0;1
11;16/03/2006;95;-0.0016155165481;0,317;0,683
10;16/03/2006;90;-0.0019454062383;0,3834;0,6166
9;16/03/2006;85;-0.0022133428318;0,4374;0,5626
8;16/03/2006;80;-0.0024709223745;0,4892;0,5108
7;16/03/2006;70;-0.0029775205733;0,5913;0,4087
6;16/03/2006;60;-0.0034803953344;0,6925;0,3075
5;16/03/2006;50;-0.0039823028197;0,7936;0,2064
4;16/03/2006;40;-0.0044841597885;0,8947;0,1053
3;16/03/2006;30;-0.0049537997711;0,9893;0,0107
2;16/03/2006;20;-0.004955794771;0,9897;0,0103
1;16/03/2006;10;-0.0049573464376;0,9897;0,0103
0;16/03/2006;0;-0.0049697597704;0,9925;0,0075
12;17/03/2006;100;5.55555556e-05;0;1
11;17/03/2006;95;-0.0003564767814;0,3062;0,6938
10;17/03/2006;90;-0.0004286649204;0,3764;0,6236
9;17/03/2006;85;-0.0004855556205;0,4317;0,5683
8;17/03/2006;80;-0.0005396217214;0,4843;0,5157
7;17/03/2006;70;-0.0006453291287;0,5871;0,4129
6;17/03/2006;60;-0.0007499982579;0,6889;0,3111
5;17/03/2006;50;-0.0008544211256;0,7904;0,2096
4;17/03/2006;40;-0.0009588627482;0,892;0,108
3;17/03/2006;30;-0.0010589244593;0,9893;0,0107
2;17/03/2006;20;-0.0010593376055;0,9897;0,0103
1;17/03/2006;10;-0.0010596589414;0,9897;0,0103
0;17/03/2006;0;-0.001062229629;0,9925;0,0075
12;18/03/2006;100;5.55555556e-05;0;1
11;18/03/2006;95;-0.0009618533497;0,3038;0,6962
10;18/03/2006;90;-0.0011770401862;0,3748;0,6252
9;18/03/2006;85;-0.0013455658003;0,4304;0,5696
